,division,age,gender,edu,occupation,device_count_5_yr,last_dumped_device,dump_within,dump_reason,did_with_device,did_with_data,miss_dev,memory_dev,miss_another,normally_do,device_to_rep,self_try,self_try_chlng,rprd_usage_chlng,rpr_missing_trait,bad_rep_exp,dev_tknto_rec,dev_rec_chlng,will_dev_rec,prblm_not_recd
25,Dhaka,20-29,Man,Bachelors,Teacher,3-4,Smartphone,<2 yr,"1, 2, 6",1,1.0,N,Y,Y,1,"Smartphone, Laptop",3,"1, 5, 6","2, 3, 4","2, 4",NC,Nothing,"1, 3, 6",N,"4, 5"
26,Dhaka,20-29,Man,Masters,Technical Works,6-8,Smartphone,<6 mn,"1, 6",1,5.0,N,N,N,"1, 3, 4","Smartphone, Desktop, Laptop",3,"4, 5","2, 3, 4","4, 6",NC,"Desktop, Laptop",2,,"1, 2, 3, 5"
27,Dhaka,20-29,Man,Bachelors,Technical Works,1-2,Smartphone,<6 mn,3,1,5.0,Y,Y,Y,1,"Smartphone, Desktop",3,7,"2, 3, 4",5,NC,Nothing,2,N,6
28,Dhaka,1-19,Woman,Bachelors,Student,1-2,Smartphone,<1 mn,1,6,4.0,N,N,N,1,Smartphone,1,4,1,6,NC,Nothing,,,
29,Dhaka,20-29,Man,Bachelors,Unemployed,3-4,Smartphone,<4 yr,3,1,5.0,N,N,N,1,"Smartphone, Desktop, Laptop","2, 3","3, 5, 6, 7","2, 3, 4","5, 6",NC,Nothing,,,"2, 3"
30,Dhaka,20-29,Woman,High School,Student,3-4,Smartphone,<6 mn,"3, 6",1,5.0,Y,Y,Y,"1, 3, 4","Desktop, Laptop","2, 3","1, 5","3, 4","2, 3, 4, 5",N,Featurephone,"3, 4",Y,"1, 2"
31,Dhaka,20-29,Man,Bachelors,Student,3-4,Smartphone,<6 mn,2,1,1.0,Y,N,N,5,"Smartphone, Laptop",1,7,2,6,NC,Nothing,"3, 4, 5",N,2
32,Dhaka,20-29,Man,Bachelors,Job,4-6,Laptop,<6 mn,2,1,1.0,N,Y,Y,1,"Smartphone, Desktop, Laptop",3,"1, 3, 4, 5, 6, 7","3, 4, 5","2, 3, 4, 6",Y,Featurephone,"1, 6",,2
33,Dhaka,20-29,Man,High School,Student,1-2,Smartphone,<2 yr,3,1,1.0,N,N,N,1,Smartphone,1,5,"2, 3, 4","4, 5, 6",N,Nothing,3,N,1
34,Dhaka,20-29,Man,High School,Student,3-4,Featurephone,<2 yr,3,1,1.0,Y,Y,N,1,Smartphone,1,6,1,2,NC,Nothing,"1, 2, 3, 4",,2
35,Dhaka,30-39,Woman,Masters,Teacher,3-4,Tablet,<6 mn,1,7,1.0,N,Y,Y,1,"Smartphone, Desktop, Laptop",2,"1, 5, 7","3, 4","2, 4, 6, 7",NC,Nothing,,N,"2, 5"
36,Dhaka,20-29,Man,Bachelors,Job,10-12,Smartphone,<1 yr,3,1,2.0,Y,Y,N,"1, 4","Smartphone, Desktop, Laptop","1, 2, 3","1, 3, 5, 6","1, 3, 4","1, 2, 3, 4, 5, 6",NC,Nothing,"2, 3, 5, 6",N,"1, 2, 3, 4, 5"
37,Dhaka,1-19,Man,High School,Student,3-4,Smartphone,<1 yr,5,1,3.0,Y,Y,Y,1,"Smartphone, Desktop",3,"1, 3, 6",2,"3, 4, 5, 6",Y,Featurephone,"3, 4",N,"1, 2, 3, 5"
38,Dhaka,20-29,Man,Bachelors,Student,1-2,Featurephone,<4 yr,5,1,,N,N,N,2,"Smartphone, Laptop",3,4,"3, 4","4, 5, 6",NC,Nothing,"1, 2",,"1, 2, 3"
